label,text
ham,Hey how are you doing?
spam,Win money now by clicking this link!
ham,Can we meet tomorrow?
spam,Congratulations! You won a prize.
ham,Call me when you are free.
spam,Free entry in a competition. Text WIN to 12345.
ham,That sounds good to me.
ham,I will call you later.
spam,You have been selected for a reward.
ham,Are we still on for dinner tonight?
spam,Exclusive offer! Claim your discount now.
ham,Lets catch up soon.
spam,Final notice! Your account is suspended.
ham,Did you finish your homework?
spam,Click here to get free gift cards!
